"beerid";"brewer";"name";"style";"abv"
1;"The Bruery";"Sour In The Rye";"American Wild Ale";7.8
2;"Goose Island";"Lolita";"American Wild Ale";9.8
3;"Urthel";"Samaranth";"Quadrupel";7.8
4;"Kasteel";"Kasteel Donker";"Quadrupel";11.0
5;"Breckenridge";"Ophelia";"APWA";5.0
6;"Heavy Seas";"Red Sky At Night";"Saison";7.5
7;"Burley Oak";"Sorry Chicky";"Berliner Weiss";4.4
8;"Pabst Brewing";"National Bohemian";"Delicious Garbage";4.3
9;"Brouwerij Van Steenberge N.V.";"Piraat";"Belgian Strong Pale";10.8
10;"Goose Island";"Bourbon County Barley Wine";"Barley Wine";7.8
